run_id,date,sample_rule,task,method,variant,k,seed,silhouette,calinski_harabasz,davies_bouldin,ari_vs_seed0,bic,aic,log_likelihood,n_iter,converged,parameters,notes
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,3,4,0.11345827231388846,12838.168357968132,2.530081630002774,0.20932688615982156,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,3,5,0.09832149684313171,12142.59906338614,2.6743604456806076,0.36184052750338763,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,3,6,0.11297854044286412,12450.579033267933,2.619625626348435,0.29861853083567413,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,3,7,0.14474569523268718,14590.80867250097,2.2442626601749174,0.3177667119952697,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,3,8,0.11938541892640143,12991.171084244254,2.5194194992776677,0.24121246080774625,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,3,9,0.11835656902478323,13003.556740180618,2.5137562594449623,0.2186457750785205,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,4,0,0.13363450280924705,11935.633673509354,2.2613339532348435,1.0,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,4,1,0.09936016265845068,12251.916317563344,2.4605453381188926,0.23650324849541793,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,4,2,0.13669759640834014,14426.389633260087,2.1356934692805933,0.534039162926155,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
80c519792264,2026-06-03T13:08:51+01:00,FULL population: all 119390 rows,1.2,MiniBatchKMeans,standard,4,3,0.12219937563284425,11798.291046946648,2.279143156642073,0.7124089566823821,,,,,,"{""algorithm"":""MiniBatchKMeans"",""batch_size"":1024,""distance"":""euclidean"",""k_range"":[2,8],""max_iter"":300,""n_init"":10,""scaler"":""standard""}",
